"fever2wk","male","urban","pinf.rdt0","pinf.rdt1","pinf","reg","age"
0,0,1,0.108465059,0.583650159,0.434692655,"Boucle de Mouhoun",1
0,0,1,0.106627287,0.584020192,0.454609931,"Boucle de Mouhoun",2
0,0,1,0.173394561,0.689686423,0.574765641,"Boucle de Mouhoun",3
0,0,1,0.193684806,0.641258339,0.516804641,"Boucle de Mouhoun",4
1,0,1,0.116666867,0.500793153,0.373313276,"Boucle de Mouhoun",0
1,0,1,0.14673836,0.521142255,0.417496041,"Boucle de Mouhoun",1
1,0,1,0.147881022,0.525827604,0.436397698,"Boucle de Mouhoun",2
1,0,1,0.234994666,0.637955789,0.55702267,"Boucle de Mouhoun",3
1,0,1,0.251716886,0.58196765,0.499587994,"Boucle de Mouhoun",4
0,1,1,0.083881829,0.510746584,0.340312564,"Boucle de Mouhoun",0
0,1,1,0.105062109,0.52654436,0.382861615,"Boucle de Mouhoun",1
0,1,1,0.103343241,0.527571432,0.401778774,"Boucle de Mouhoun",2
0,1,1,0.169599751,0.638340992,0.522780075,"Boucle de Mouhoun",3
0,1,1,0.186185904,0.585279699,0.463907315,"Boucle de Mouhoun",4
1,1,1,0.111730947,0.440553768,0.324252898,"Boucle de Mouhoun",0
1,1,1,0.140980063,0.461288134,0.365921576,"Boucle de Mouhoun",1
1,1,1,0.142850594,0.467828334,0.383509887,"Boucle de Mouhoun",2
1,1,1,0.22852423,0.582675811,0.50427025,"Boucle de Mouhoun",3
1,1,1,0.240785688,0.522479472,0.446050093,"Boucle de Mouhoun",4
0,0,0,0.299212281,0.813299175,0.731605001,"Centre-Ouest",0
0,0,0,0.278315137,0.823809967,0.740911983,"Centre-Ouest",1
0,0,0,0.522912464,0.85830078,0.820567743,"Centre-Ouest",2
0,0,0,0.460526601,0.876075887,0.837980054,"Centre-Ouest",3
0,0,0,0.568302457,0.865153416,0.831020836,"Centre-Ouest",4
1,0,0,0.304983773,0.776325585,0.706205594,"Centre-Ouest",0
1,0,0,0.282595776,0.786882275,0.713799588,"Centre-Ouest",1
1,0,0,0.537815676,0.831169028,0.799798762,"Centre-Ouest",2
1,0,0,0.475812679,0.851556834,0.818779591,"Centre-Ouest",3
1,0,0,0.583973745,0.838392772,0.810408534,"Centre-Ouest",4
0,1,0,0.325857289,0.794430741,0.71037827,"Centre-Ouest",0
0,1,0,0.304444684,0.806145819,0.718752602,"Centre-Ouest",1
0,1,0,0.549462407,0.842357249,0.803244613,"Centre-Ouest",2
0,1,0,0.493478497,0.861945992,0.821405598,"Centre-Ouest",3
0,1,0,0.593356101,0.849148713,0.81391397,"Centre-Ouest",4
